n,type,x,err
7,uni,-6.980000000000000e-01,1.639900143131885e-02
7,uni,-6.960000000000000e-01,1.830439750839133e-02
7,uni,-6.940000000000000e-01,2.018451220754741e-02
7,uni,-6.919999999999999e-01,2.203892089858744e-02
7,uni,-6.899999999999999e-01,2.386721020420569e-02
7,uni,-6.879999999999999e-01,2.566897792280331e-02
7,uni,-6.859999999999999e-01,2.744383295162422e-02
7,uni,-6.839999999999999e-01,2.919139521021503e-02
7,uni,-6.819999999999999e-01,3.091129556421089e-02
7,uni,-6.799999999999999e-01,3.260317574944804e-02
7,uni,-6.779999999999999e-01,3.426668829640521e-02
7,uni,-6.759999999999999e-01,3.590149645497487e-02
7,uni,-6.739999999999999e-01,3.750727411956605e-02
7,uni,-6.719999999999999e-01,3.908370575454027e-02
7,uni,-6.699999999999999e-01,4.063048631998210e-02
7,uni,-6.679999999999999e-01,4.214732119780597e-02
7,uni,-6.659999999999999e-01,4.363392611820070e-02
7,uni,-6.639999999999999e-01,4.509002708641368e-02
7,uni,-6.619999999999999e-01,4.651536030987614e-02
7,uni,-6.599999999999999e-01,4.790967212567118e-02
7,uni,-6.579999999999999e-01,4.927271892834643e-02
7,uni,-6.560000000000000e-01,5.060426709807299e-02
7,uni,-6.540000000000000e-01,5.190409292915266e-02
7,uni,-6.520000000000000e-01,5.317198255887451e-02
7,uni,-6.500000000000000e-01,5.440773189672374e-02
7,uni,-6.480000000000000e-01,5.561114655394379e-02
7,uni,-6.460000000000000e-01,5.678204177345403e-02
7,uni,-6.440000000000000e-01,5.792024236012466e-02
7,uni,-6.420000000000000e-01,5.902558261141121e-02
7,uni,-6.400000000000000e-01,6.009790624834996e-02
7,uni,-6.380000000000000e-01,6.113706634691692e-02
7,uni,-6.360000000000000e-01,6.214292526975206e-02
7,uni,-6.340000000000000e-01,6.311535459825092e-02
7,uni,-6.320000000000000e-01,6.405423506502562e-02
7,uni,-6.300000000000000e-01,6.495945648673757e-02
7,uni,-6.280000000000000e-01,6.583091769730398e-02
7,uni,-6.260000000000000e-01,6.666852648148018e-02
7,uni,-6.240000000000000e-01,6.747219950882025e-02
